size,iteration,time
58318,67,0.005756
58318,68,0.006501
58318,69,0.005846
58318,70,0.006139
58318,71,0.006675
58318,72,0.005963
58318,73,0.006495
58318,74,0.005986
58318,75,0.005906
58318,76,0.006368
58318,77,0.005892
58318,78,0.006195
58318,79,0.006873
58318,80,0.006175
58318,81,0.007733
58318,82,0.006074
58318,83,0.005521
58318,84,0.006559
58318,85,0.005882
58318,86,0.005925
58318,87,0.005865
58318,88,0.006220
58318,89,0.005928
58318,90,0.006070
58318,91,0.005723
58318,92,0.006234
58318,93,0.006033
58318,94,0.006204
58318,95,0.006373
58318,96,0.005909
58318,97,0.006454
58318,98,0.006205
58318,99,0.005612
116636,0,0.014856
116636,1,0.013236
116636,2,0.014787
116636,3,0.012696
116636,4,0.012260
116636,5,0.012509
116636,6,0.012956
116636,7,0.013255
116636,8,0.013494
116636,9,0.012662
116636,10,0.013380
116636,11,0.013278
116636,12,0.013710
116636,13,0.013242
116636,14,0.013064
116636,15,0.014157
116636,16,0.013666
116636,17,0.012947
116636,18,0.013129
116636,19,0.012660
116636,20,0.012190
116636,21,0.012756
116636,22,0.014937
116636,23,0.013327
116636,24,0.013882
116636,25,0.013427
116636,26,0.013755
116636,27,0.012389
116636,28,0.012528
116636,29,0.013124
116636,30,0.013222
116636,31,0.013061
116636,32,0.012871
116636,33,0.013121
116636,34,0.013002
116636,35,0.013504
116636,36,0.014148
116636,37,0.013207
116636,38,0.012558
116636,39,0.012867
116636,40,0.013085
116636,41,0.013572
116636,42,0.013019
116636,43,0.012831
116636,44,0.013185
116636,45,0.012603
116636,46,0.013013
116636,47,0.012896
116636,48,0.013018
116636,49,0.013634
116636,50,0.013880
116636,51,0.013345
116636,52,0.012801
116636,53,0.012452
116636,54,0.012572
116636,55,0.012755
116636,56,0.013053
116636,57,0.013338
116636,58,0.012966
116636,59,0.012677
116636,60,0.013476
116636,61,0.013275
116636,62,0.013934
116636,63,0.013169
116636,64,0.012626
116636,65,0.013125
116636,66,0.013966
116636,67,0.013181
116636,68,0.013123
116636,69,0.013598
116636,70,0.012606
116636,71,0.013329
116636,72,0.013894
116636,73,0.013456
116636,74,0.013345
116636,75,0.012371
116636,76,0.012705
116636,77,0.012890
116636,78,0.013208
116636,79,0.013384
116636,80,0.013421
116636,81,0.012925
116636,82,0.013996
116636,83,0.013063
116636,84,0.013057
116636,85,0.014389
116636,86,0.012712
116636,87,0.012497
116636,88,0.012806
116636,89,0.012703
116636,90,0.013137
116636,91,0.012552
116636,92,0.012660
116636,93,0.013110
116636,94,0.013163
116636,95,0.012957
116636,96,0.013912
116636,97,0.014693
116636,98,0.012632
116636,99,0.014491
